open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA3,MA5,MA21,MA56,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,MACD_Long_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,Volume_MA20,Volume_Ratio,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.000,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,计算时间,MA_Fast_Signal,MA_Signal,MACD_Signal_Analysis,MACD_Zero_Cross,RSI_Signal,BB_Width,BB_Squeeze,BB_Breakout_Strength,BB_Signal,Stoch_Signal,Fib_Key_Zone,综合信号
2025-07-14 07:00:00,122124.1,123300.0,122087.7,122731.0,12504.352,1534604651.4081,224881.0,6836.741,839097272.638,,,,,,,,,,,,,,,,,,,,,,,,,,,12504.352,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 08:00:00,122731.0,122772.7,122275.6,122560.1,6006.935,735895832.8673,128927.0,3007.874,368482681.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,6497.417,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 09:00:00,122560.0,122566.0,121840.0,121979.9,8211.608,1002722993.0728,139268.0,3720.299,454271927.8094,122423.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,-1714.1909999999998,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 10:00:00,121980.0,122149.8,121620.7,121911.8,6309.709,769182617.0391,114258.0,3115.677,379833292.8466,122150.59999999999,,,,,,,,,,,,,,,,,,,,,,,,,,-8023.9,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 11:00:00,121911.8,121911.8,121357.0,121474.5,5860.765,712470217.0143,124257.0,2831.156,344162423.8902,121788.73333333332,122131.46,,,122131.46,,,,,,,,,,,,,,,,,,,,,,-13884.665,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 12:00:00,121474.5,121917.8,121410.0,121894.2,5256.304,640008167.8814,111084.0,2824.848,343963342.4515,121760.16666666664,121964.1,,,121964.1,,,,,,,,,,,,,,,,,,,,,,-8628.361,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 13:00:00,121894.2,122113.9,121150.0,121679.2,11558.576,1406207120.6402,210377.0,5621.363,683882548.56,121682.63333333332,121787.92,,,121787.92,,,,,,,,,,,,,,,,,,,,,,-20186.936999999998,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-14 14:00:00,121679.3,121970.9,120612.4,121160.0,15446.152,1871298569.966,294009.0,7424.048,899478390.9994,121577.79999999999,121623.93999999999,,,121623.93999999999,,,,,,,,,17.41204779289737,,,,,,,,,,,,,-35633.089,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,极度超卖,,False,,中轨附近,中性,,中性
2025-07-14 15:00:00,121160.0,121173.2,119590.9,119863.1,18375.394,2207702241.9704,315584.0,8319.908,999552627.4213,120900.76666666665,121214.2,,,121214.2,,,,,,,,,10.697218009659826,,,,,,,,,,,,,-54008.483,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,极度超卖,,False,,中轨附近,中性,,中性
2025-07-14 16:00:00,119863.1,120299.0,119200.0,120260.9,16207.432,1940611819.0844,274534.0,8518.617,1020059668.486,120427.99999999996,120971.48000000001,,,120971.48000000001,,,,,,,,,21.526797912606945,,,,,,,,,,,,,-37801.051,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,强买入,,False,,中轨附近,中性,,中性
2025-07-14 17:00:00,120261.0,120510.9,119750.0,119885.2,7329.028,880759910.9842,150877.0,3118.39,374845031.1312,120003.06666666664,120569.68000000001,,,120569.68000000001,,,,,,,,,18.989438695452492,,,,,,,,,,,,,-45130.079,857.9399999999994,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,极度超卖,,False,,中轨附近,中性,,中性
2025-07-14 18:00:00,119885.2,120166.0,119595.0,119605.6,3920.842,469987959.7763,103238.0,1927.643,231099601.41,119917.2333333333,120154.96,,,120154.96,,,,,,,,,17.226481141541576,,,,,,,,,,,,,-49050.920999999995,829.2459999999995,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:59:58,快速死叉,中性,中性,,极度超卖,,False,,中轨附近,中性,,中性
